"","name_ratio","name_FDR"
"REACTOME_SURFACTANT_METABOLISM",41.9256465517241,1.04839064079917e-11
"REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM",88.425,7.44640082189412e-11
"REACTOME_NGF_STIMULATED_TRANSCRIPTION",28.3413461538462,2.72901475126138e-09
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION",19.9318647540984,7.25323635107628e-09
"REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5",82.8984375,5.722297357843e-08
"REACTOME_METABOLISM_OF_LIPIDS",4.05905720338983,6.2915214149161e-07
"REACTOME_INNATE_IMMUNE_SYSTEM",3.1853386167147,7.09359505311032e-06
"REACTOME_SIGNALING_BY_NTRKS",9.14168233082707,1.08566252826161e-05
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",3.74958517699115,1.51186766054243e-05
"REACTOME_SIGNALING_BY_INTERLEUKINS",4.50127262443439,2.74520393584159e-05
"REACTOME_NEUTROPHIL_DEGRANULATION",4.25120192307692,5.67235826158889e-05
"REACTOME_DISEASES_OF_METABOLISM",5.64414893617021,0.00028537270876975
"REACTOME_CHOLESTEROL_BIOSYNTHESIS",22.10625,0.000489985724505883
"REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE",8.58495145631068,0.000654845710146251
"REACTOME_METABOLISM_OF_STEROIDS",6.81357020547945,0.00100494116755657
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS",5.19591346153846,0.00122298166741908
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF",12.0579545454545,0.00124677821107336
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES",3.47445972495088,0.00186741299080368
"REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND",22.10625,0.00321695663509714
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",13.1584821428571,0.00376191533115254
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",6.97043918918919,0.00618424248381058
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES",5.74188311688312,0.0070213470650474
"REACTOME_PD_1_SIGNALING",17.0048076923077,0.00727437654455505
"REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION",30.1448863636364,0.0101499851533366
"REACTOME_INTERFERON_GAMMA_SIGNALING",7.45154494382022,0.0117960185465001
"REACTOME_FATTY_ACID_METABOLISM",5.17105263157895,0.012047015403666
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES",12.6321428571429,0.0190952093056315
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES",12.28125,0.0197589635056662
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",12.28125,0.0197589635056662
"REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS",22.10625,0.0200477633917518
"REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT",8.12729779411765,0.0223245334916817
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PG",19.5055147058824,0.0261794872747745
"REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT",5.09025493421053,0.0261794872747745
"REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION",55.265625,0.0302505160162503
"REACTOME_ESR_MEDIATED_SIGNALING",4.8357421875,0.033072795168576
"REACTOME_CELL_CELL_COMMUNICATION",5.57300420168067,0.0364073167672318
"REACTOME_INTERLEUKIN_10_SIGNALING",9.825,0.0364073167672318
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION",5.48088842975207,0.0385986301325876
